name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand,sold_date,import_date
Lancer,/used-cars/for-sale/mitsubishi/lancer/2013/vr-x/cj-my14/3647733,9990,"80,001 - 100,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2013,Mitsubishi,11/6/2025,
Jetta,/used-cars/for-sale/volkswagen/jetta/2011/103tdi-comfortline/1b-my12/3657018,9990,"120,001 - 140,000",Automatic,Diesel,Sedan,11/5/2025,brisbaneautogroup,2011,Volkswagen,,
Camry,/used-cars/for-sale/toyota/camry/2012/altise/asv50r/3645833,13990,"60,001 - 80,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2012,Toyota,11/6/2025,
Sonata,/used-cars/for-sale/hyundai/sonata/2016/premium/lf-my16/3665405,16990,"140,001 - 160,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2016,Hyundai,,
3,/used-cars/for-sale/mazda/3/2016/maxx/bm-series/3617943,17990,"120,001 - 140,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2016,Mazda,,
Elantra,/used-cars/for-sale/hyundai/elantra/2017/sr-turbo/ad-my17/3650550,18990,"160,001 - 180,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2017,Hyundai,,
Falcon,/used-cars/for-sale/ford/falcon/2012/xr6-turbo/fg-mkii/3640754,32990,"100,001 - 120,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2012,Ford,,
3,/used-cars/for-sale/bmw/3-series/2018/330i-sport-line/f30-lci/3664389,32990,"200,001+",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2018,BMW,,
ES,/used-cars/for-sale/lexus/es/2018/300h-sports-luxury/avv60r/3636967,39990,"200,001+",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2018,Lexus,,
e350,/used-cars/for-sale/mercedes-benz/e-class/2017/e350-d/w213/3624886,43990,"140,001 - 160,000",Automatic,Diesel,Sedan,11/5/2025,brisbaneautogroup,2017,Mercedes,,
e300,/used-cars/for-sale/mercedes-benz/e-class/2019/e300/w213/3569700,51990,"140,001 - 160,000",Automatic,Petrol,Sedan,11/5/2025,brisbaneautogroup,2019,Mercedes,11/7/2025,
Kuga,/used-cars/for-sale/ford/kuga/2013/trend/tf-awd/3647023,9990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2013,Ford,,
Forester,/used-cars/for-sale/subaru/forester/2012/xs-premium/s3-my12-awd/3626261,10990,"160,001 - 180,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2012,Subaru,11/8/2025,
Grand,/used-cars/for-sale/jeep/grand-cherokee/2013/laredo/wk-my14-4x4-constant/3630428,10990,"120,001 - 140,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2013,Jeep,,
X-TRAIL,/used-cars/for-sale/nissan/x-trail/2012/st/t31-series-v/3664026,10990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2012,Nissan,,
2008,/used-cars/for-sale/peugeot/2008/2017/allure/a94-my17/3623168,11490,"80,001 - 100,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Peugeot,11/7/2025,
Trax,/used-cars/for-sale/holden/trax/2016/ls/tj-my17/3647739,12990,"60,001 - 80,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2016,Holden,,
Trax,/used-cars/for-sale/holden/trax/2016/ltz/tj-my17/3649005,12990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2016,Holden,,
Cherokee,/used-cars/for-sale/jeep/cherokee/2015/sport/kl-my15/3649009,12990,"120,001 - 140,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2015,Jeep,,
Grand,/used-cars/for-sale/jeep/grand-cherokee/2014/laredo/wk-my14-4x4-dual-range/3654931,12990,"160,001 - 180,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2014,Jeep,11/8/2025,
Escape,/used-cars/for-sale/ford/escape/2016/trend/zg-awd/3630430,13990,"100,001 - 120,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Ford,11/6/2025,
santafe,/used-cars/for-sale/hyundai/santa-fe/2016/elite/dm3-series-ii-my17-4x4-on-demand/3631350,13990,"200,001+",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Hyundai,,
Tucson,/used-cars/for-sale/hyundai/tucson/2020/active/tl4-my20/3636966,13990,"200,001+",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2020,Hyundai,,
Sportage,/used-cars/for-sale/kia/sportage/2014/sli/sl-series-ii-my13-4x4-on-demand/3665403,13990,"140,001 - 160,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2014,Kia,,
X-TRAIL,/used-cars/for-sale/nissan/x-trail/2017/st-l/t32-series-ii/3604154,14990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Nissan,,
T60,/used-cars/for-sale/ldv/t60/2019/pro/sk8c-4x4-dual-range/3643407,15990,"100,001 - 120,000",Manual,Diesel,SUV,11/5/2025,brisbaneautogroup,2019,LDV,11/6/2025,
RAV4,/used-cars/for-sale/toyota/rav4/2016/gx/zsa42r/3594268,16990,"140,001 - 160,000",Manual,Petrol,SUV,11/5/2025,brisbaneautogroup,2016,Toyota,,
ASX,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my18/3629199,16990,"100,001 - 120,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Mitsubishi,,
Acadia,/used-cars/for-sale/holden/acadia/2018/lt/ac-my19/3664025,16990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2018,Holden,,
ZS,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657423,17490,"40,001 - 60,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2023,MG,,
ZS,/used-cars/for-sale/mg/zs/2023/excite/azs1-my23/3657426,17490,"40,001 - 60,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2023,MG,,
CX-3,/used-cars/for-sale/mazda/cx-3/2017/stouring/dk/3546871,17990,"100,001 - 120,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Mazda,11/6/2025,
santafe,/used-cars/for-sale/hyundai/santa-fe/2014/elite/dm-my14-4x4-on-demand/3625073,17990,"120,001 - 140,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2014,Hyundai,,
ASX,/used-cars/for-sale/mitsubishi/asx/2017/ls/xc-my17/3625074,17990,"100,001 - 120,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Mitsubishi,,
Q7,/used-cars/for-sale/audi/q7/2016/tdi/4m-my17-four-wheel-drive/3626066,17990,"200,001+",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Audi,11/6/2025,
Colorado,/used-cars/for-sale/holden/colorado-7/2015/lt/rg-my16-4x4-dual-range/3643406,17990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2015,Holden,,
Outlander,/used-cars/for-sale/mitsubishi/outlander/2016/ls/zk-my16/3644191,17990,"100,001 - 120,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2016,Mitsubishi,,
XV,/used-cars/for-sale/subaru/xv/2016/2.0i-s/g4x-my16-awd/3645003,17990,"100,001 - 120,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2016,Subaru,,
CR-V,/used-cars/for-sale/honda/cr-v/2015/limited-edition/rm-series-ii-my17-4x4-on-demand/3664421,17990,"120,001 - 140,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2015,Honda,,
Colorado,/used-cars/for-sale/holden/colorado-7/2015/lt/rg-my16-4x4-dual-range/3636960,18990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2015,Holden,,
CR-V,/used-cars/for-sale/honda/cr-v/2017/vti/rw-my18/3639558,18990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2017,Honda,,
Amarok,/used-cars/for-sale/volkswagen/amarok/2017/tdi550-highline/2h-my17-4x4-constant/3597834,21990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2017,Volkswagen,,
gla250,/used-cars/for-sale/mercedes-benz/gla-class/2015/gla250/x156-four-wheel-drive/3644853,21990,"80,001 - 100,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2015,Mercedes,,
Korando,/used-cars/for-sale/ssangyong/korando/2019/ultimate-le/c300-my20-awd/3656715,21990,"20,001 - 40,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2019,SsangYong,,
Rover,/used-cars/for-sale/land-rover/discovery/2014/tdv6/series-4-my15-4x4-dual-range/3604153,22990,"160,001 - 180,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2014,Land,,
Colorado,/used-cars/for-sale/holden/colorado/2015/ls-x/rg-my16-4x4-dual-range/3636957,22990,"160,001 - 180,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2015,Holden,,
D90,/used-cars/for-sale/ldv/d90/2018/deluxe/sv9a/3585267,23990,"60,001 - 80,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2018,LDV,,
Grand,/used-cars/for-sale/jeep/grand-cherokee/2020/night-eagle/wk-my20-4x4-dual-range/3596713,23990,"140,001 - 160,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2020,Jeep,,
Colorado,/used-cars/for-sale/holden/colorado/2016/z71/rg-my17-4x4-dual-range/3626065,23990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Holden,,
ml350,/used-cars/for-sale/mercedes-benz/m-class/2013/ml350-bluetec/w166-4x4-constant/3645001,23990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2013,Mercedes,,
Landcruiser,/used-cars/for-sale/toyota/landcruiser/2002/gxl/fzj105r-4x4-constant/3605735,24990,"200,001+",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2002,Toyota,,
Ranger,/used-cars/for-sale/ford/ranger/2016/xlt/px-mkii-4x4-dual-range/3605738,24990,"160,001 - 180,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Ford,,
Rover,/used-cars/for-sale/land-rover/discovery-sport/2016/sd4-hse/l550-my16.5-4x4-constant/3643412,24990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Land,,
BT-50,/used-cars/for-sale/mazda/bt-50/2015/xtr/up-4x4-dual-range/3647910,24990,"180,001 - 200,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2015,Mazda,,
T60,/used-cars/for-sale/ldv/t60/2022/max-pro/sk8c-4x4-dual-range/3615635,26990,"60,001 - 80,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2022,LDV,,
A4,/used-cars/for-sale/audi/a4/2019/allroad-45-tfsi/b9-my19-4x4-on-demand/3638510,26990,"120,001 - 140,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2019,Audi,,
FJ,/used-cars/for-sale/toyota/fj-cruiser/2012/gsj15r-4x4-dual-range/3644028,26990,"200,001+",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2012,Toyota,,
Navara,/used-cars/for-sale/nissan/navara/2019/rx/d23-series-3-4x4-dual-range/3656662,27990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2019,Nissan,,
C-HR,/used-cars/for-sale/toyota/c-hr/2019/koba/ngx10r/3602378,28990,"20,001 - 40,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2019,Toyota,,
Ranger,/used-cars/for-sale/ford/ranger/2018/raptor/px-mkiii-my19-4x4-dual-range/3605736,28990,"200,001+",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2018,Ford,,
Colorado,/used-cars/for-sale/holden/colorado/2018/ltz/rg-my19-4x4-dual-range/3647008,28990,"140,001 - 160,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2018,Holden,11/6/2025,
Tucson,/used-cars/for-sale/hyundai/tucson/2022/n-line/nx4.v2-my23/3635088,29990,"60,001 - 80,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2022,Hyundai,,
Ranger,/used-cars/for-sale/ford/ranger/2016/wildtrak/px-mkii-4x4-dual-range/3647006,29990,"160,001 - 180,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2016,Ford,,
Patrol,/used-cars/for-sale/nissan/patrol/2011/dx/gu-6-series-ii-4x4-dual-range/3660996,29990,"80,001 - 100,000",Manual,Diesel,SUV,11/5/2025,brisbaneautogroup,2011,Nissan,,
X4,/used-cars/for-sale/bmw/x4/2019/xdrive30i-m-sport/g02-4x4-constant/3572551,34990,"120,001 - 140,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2019,BMW,,
Pajero,/used-cars/for-sale/mitsubishi/pajero-sport/2018/black-edition/qe-my19-4x4-dual-range/3656663,34990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2018,Mitsubishi,,
Landcruiser,/used-cars/for-sale/toyota/landcruiser/2017/workmate/vdj79r-4x4-dual-range/3647741,54990,"180,001 - 200,000",Manual,Diesel,SUV,11/5/2025,brisbaneautogroup,2017,Toyota,,
Landcruiser,/used-cars/for-sale/toyota/landcruiser-prado/2021/gxl/gdj150r-4x4-dual-range/3576737,56990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2021,Toyota,,
Landcruiser,/used-cars/for-sale/toyota/landcruiser-prado/2022/gxl/gdj150r-4x4-dual-range/3570185,59990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2022,Toyota,,
RX,/used-cars/for-sale/lexus/rx/2021/450h-luxury/gyl25r-4x4-on-demand/3663967,62990,"60,001 - 80,000",Automatic,Petrol,SUV,11/5/2025,brisbaneautogroup,2021,Lexus,,
Q8,/used-cars/for-sale/audi/q8/2020/50-tdi/f1-my20-four-wheel-drive/3643405,69990,"80,001 - 100,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2020,Audi,,
Landcruiser,/used-cars/for-sale/toyota/landcruiser/2022/sahara/fja300r-4x4-dual-range/3549579,121990,"40,001 - 60,000",Automatic,Diesel,SUV,11/5/2025,brisbaneautogroup,2022,Toyota,,
Ute,/used-cars/for-sale/holden/ute/2013/vf-my14/3645002,16990,"160,001 - 180,000",Automatic,Petrol,Ute,11/5/2025,brisbaneautogroup,2013,Holden,,
Navara,/used-cars/for-sale/nissan/navara/2015/st-x/d23-4x2/3649165,24990,"140,001 - 160,000",Automatic,Diesel,Ute,11/5/2025,brisbaneautogroup,2015,Nissan,,
Deliver,/used-cars/for-sale/ldv/deliver-9/2021/3604151,27990,"180,001 - 200,000",Automatic,Diesel,Van,11/5/2025,brisbaneautogroup,2021,LDV,,
,/used-cars/for-sale/mercedes-benz/vito/2017/116bluetec/447/3649004,28990,"160,001 - 180,000",Automatic,Diesel,Van,11/5/2025,brisbaneautogroup,2017,Mercedes,,
Carnival,/used-cars/for-sale/kia/carnival/2015/s/yp-my15/3622818,15990,"180,001 - 200,000",Automatic,Petrol,Wagon,11/5/2025,brisbaneautogroup,2015,Kia,11/6/2025,
Commodore,/used-cars/for-sale/holden/commodore/2009/ss-v/ve-my09.5/3660805,19990,"160,001 - 180,000",Automatic,Petrol,Wagon,11/5/2025,brisbaneautogroup,2009,Holden,11/6/2025,
Carnival,/used-cars/for-sale/kia/carnival/2015/s/yp-my15/3630434,20990,"120,001 - 140,000",Automatic,Petrol,Wagon,11/5/2025,brisbaneautogroup,2015,Kia,,
Triton,https://www.cars24.com.au/buy-used-mitsubishi-triton-car-19387137716992/,33490,"100,001 - 120,000",Manual,Diesel,Cab Chassis,11/5/2025,cars24,2021,Mitsubishi,,
Steed,https://www.cars24.com.au/buy-used-gwm-steed-car-19663100068736/,15490,"60,001 - 80,000",Manual,Diesel,Cab Chassis,11/5/2025,cars24,2021,GWM,,
Arkana,https://www.cars24.com.au/buy-used-renault-arkana-car-18519629992832/,20995,"100,001 - 120,000",Automatic,Petrol,Coupe,11/5/2025,cars24,2022,Renault,,
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-18566072769024/,15090,"100,001 - 120,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2015,Volkswagen,,
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414030516416/,27990,"60,001 - 80,000",Automatic,Hybrid,Hatchback,11/5/2025,cars24,2021,Toyota,11/8/2025,
3,https://www.cars24.com.au/buy-used-mazda-3-car-19799915670848/,28490,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2023,Mazda,11/8/2025,
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19711212668736/,22890,"60,001 - 80,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,Toyota,,
2,https://www.cars24.com.au/buy-used-mazda-2-car-19787090668480/,21890,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2023,Mazda,11/8/2025,
3,https://www.cars24.com.au/buy-used-mazda-3-car-19889932666304/,31790,"0 - 20,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2023,Mazda,11/8/2025,
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19414061518912/,26990,"0 - 20,000",Automatic,Hybrid,Hatchback,11/5/2025,cars24,2022,Toyota,11/8/2025,
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-hybrid+-car-19506164816064/,24590,"40,001 - 60,000",Automatic,Hybrid,Hatchback,11/5/2025,cars24,2024,MG,11/8/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19786853699264/,18590,"80,001 - 100,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2016,Volkswagen,,
3,https://www.cars24.com.au/buy-used-mazda-3-car-19868526183232/,24390,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2020,Mazda,11/8/2025,
Yaris,https://www.cars24.com.au/buy-used-toyota-yaris-car-19324339417152/,23490,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2022,Toyota,11/7/2025,
3,https://www.cars24.com.au/buy-used-mazda-3-car-19937102464384/,19190,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2018,Mazda,11/8/2025,
3,https://www.cars24.com.au/buy-used-mazda-3-car-19888594290048/,30090,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2024,Mazda,,
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-18700042448192/,20190,"60,001 - 80,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2020,Kia,,
1,https://www.cars24.com.au/buy-used-bmw-1-car-18519133098432/,26190,"0 - 20,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,BMW,,
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-18511273944448/,21395,"60,001 - 80,000",Manual,Petrol,Hatchback,11/5/2025,cars24,2021,Hyundai,,
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19179883896384/,21990,"0 - 20,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,Toyota,,
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19390205194560/,33590,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2023,Hyundai,,
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19368973321472/,15690,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2022,MG,,
Scala,https://www.cars24.com.au/buy-used-skoda-scala-car-18939570466368/,20395,"60,001 - 80,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2021,SKODA,11/8/2025,
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19085614740672/,24290,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2022,Kia,11/8/2025,
Impreza,https://www.cars24.com.au/buy-used-subaru-impreza-car-19110386401856/,18590,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2017,Subaru,,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19240737480384/,26290,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,Volkswagen,,
Corolla,https://www.cars24.com.au/buy-used-toyota-corolla-car-19413882930816/,18090,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2016,Toyota,11/8/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18791250270272/,20690,"140,001 - 160,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2015,Volkswagen,11/8/2025,
Puma,https://www.cars24.com.au/buy-used-ford-puma-car-18824554833600/,23090,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2022,Ford,,
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19337481175168/,19190,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,Kia,11/8/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19414680310400/,17490,"20,001 - 40,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2019,Volkswagen,,
Mg4,https://www.cars24.com.au/buy-used-mg-mg4-car-19561486096000/,28390,"40,001 - 60,000",Automatic,Electric,Hatchback,11/5/2025,cars24,2023,MG,,
Cerato,https://www.cars24.com.au/buy-used-kia-cerato-car-19715401371456/,28090,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2021,Kia,11/8/2025,
Polo,https://www.cars24.com.au/buy-used-volkswagen-polo-car-19240498168576/,18990,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2021,Volkswagen,11/8/2025,
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19244276161088/,21690,"60,001 - 80,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2017,Hyundai,,
2,https://www.cars24.com.au/buy-used-mazda-2-car-19797753245056/,23090,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2024,Mazda,11/8/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-19631890359744/,26190,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2020,Volkswagen,,
i30,https://www.cars24.com.au/buy-used-hyundai-i30-car-19561372344128/,33790,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2022,Hyundai,,
Prius-c,https://www.cars24.com.au/buy-used-toyota-prius-c-car-19323566440640/,19090,"40,001 - 60,000",Automatic,Hybrid,Hatchback,11/5/2025,cars24,2017,Toyota,11/8/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18121809715904/,15695,"120,001 - 140,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2018,Volkswagen,11/8/2025,
3,https://www.cars24.com.au/buy-used-mazda-3-car-18518984987584/,15490,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2017,Mazda,11/6/2025,
Golf,https://www.cars24.com.au/buy-used-volkswagen-golf-car-18371663519808/,26190,"40,001 - 60,000",Manual,Petrol,Hatchback,11/5/2025,cars24,2016,Volkswagen,11/6/2025,
Mg3,https://www.cars24.com.au/buy-used-mg-mg3-auto-car-19075155957632/,15390,"40,001 - 60,000",Automatic,Petrol,Hatchback,11/5/2025,cars24,2023,MG,11/8/2025,
