name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
370Z,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"180,001 - 200,000",Automatic,Petrol,Coupe,20251112,cheapcarco,2010,Nissan
86,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"100,001 - 120,000",Manual,Petrol,Coupe,20251112,cheapcarco,2013,Toyota
2,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-2/34043925,14999,"180,001 - 200,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2015,Mazda
A5,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,14999,"20,001 - 40,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2013,Audi
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,9999,"100,001 - 120,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2016,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Holden-Barina/34043538,8999,"200,001+",Manual,Petrol,Hatchback,20251112,cheapcarco,2015,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,11999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2017,Holden
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Honda-Civic/34087720,11999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2012,Honda
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Civic/34045514,13999,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2013,Honda
Clio,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,14999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2016,Renault
Corolla,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Toyota-Corolla/33983863,11999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2015,Toyota
Dualis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Nissan-Dualis/34097527,8999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2012,Nissan
Dualis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Nissan-Dualis/34084757,11999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2012,Nissan
Elantra,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2003,Hyundai
i20,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Hyundai-i20/34023266,8999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2013,Hyundai
i20,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Hyundai-i20/34102186,8999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2015,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Hyundai-i30/34083074,6999,"200,001+",Manual,Diesel,Hatchback,20251112,cheapcarco,2008,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Hyundai-i30/34078556,8999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2011,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-i30/34023265,14999,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2018,Hyundai
i30,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Hyundai-i30/34075251,17999,"160,001 - 180,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2017,Hyundai
Impreza,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Subaru-Impreza/34012788,16999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2017,Subaru
Juke,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2023-Nissan-Juke/34045711,23999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2023,Nissan
Mirage,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2019-Mitsubishi-Mirage/34090142,14999,"140,001 - 160,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2019,Mitsubishi
Pulsar,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Nissan-Pulsar/34087725,10999,"80,001 - 100,000",Automatic,Petrol,Hatchback,20251112,cheapcarco,2014,Nissan
Swift,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Suzuki-Swift/34068055,7999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2010,Suzuki
Swift,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Suzuki-Swift/34108316,7999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2007,Suzuki
XV,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Subaru-XV/34002779,8999,"200,001+",Manual,Petrol,Hatchback,20251112,cheapcarco,2013,Subaru
Yaris,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Toyota-Yaris/34072074,10999,"200,001+",Automatic,Petrol,Hatchback,20251112,cheapcarco,2010,Toyota
3,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-3/34002783,7999,"180,001 - 200,000",Manual,Petrol,Sedan,20251112,cheapcarco,2014,Mazda
3,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-BMW-3-Series/34106795,14999,"20,001 - 40,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2013,BMW
Accord,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Honda-Accord/34066688,12999,"100,001 - 120,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2013,Honda
Almera,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Nissan-Almera/34087723,9999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2013,Nissan
Aurion,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Aurion/34083077,9999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2008,Toyota
Berlina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Holden-Berlina/34019798,7999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2010,Holden
,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Mercedes-Benz-C-Class/34078561,13999,"120,001 - 140,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2010,Mercedes
Calais,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2007-Holden-Calais/34088513,10999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2007,Holden
Camry,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Camry/34102185,10999,"140,001 - 160,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2008,Toyota
Camry,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Toyota-Camry/34083170,11999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2008,Toyota
Camry,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Toyota-Camry/34057266,13999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2014,Toyota
Camry,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Toyota-Camry/34087721,15999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2016,Toyota
Cerato,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Kia-Cerato/34059472,15999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2018,Kia
Cerato,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Kia-Cerato/34060878,13999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2017,Kia
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Honda-Civic/34075247,14999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2016,Honda
Commodore,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Holden-Commodore/33976326,6999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2011,Holden
Commodore,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Holden-Commodore/34071890,10999,"60,001 - 80,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2010,Holden
Cruze,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Cruze/34078557,11999,"140,001 - 160,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2016,Holden
Elantra,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Hyundai-Elantra/34043923,9999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2015,Hyundai
Falcon,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Ford-Falcon/34106790,10999,"140,001 - 160,000",Automatic,Petrol,Sedan,20251112,cheapcarco,2010,Ford
Impreza,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Subaru-Impreza/34059466,11999,"80,001 - 100,000",Manual,Petrol,Sedan,20251112,cheapcarco,2016,Subaru
Lancer,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mitsubishi-Lancer/34097528,12999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2015,Mitsubishi
Malibu,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Malibu/34108315,10999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2014,Holden
Viva,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Holden-Viva/34095042,5999,"200,001+",Automatic,Petrol,Sedan,20251112,cheapcarco,2008,Holden
WRX,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Subaru-WRX/34095043,29999,"200,001+",Manual,Petrol,Sedan,20251112,cheapcarco,2014,Subaru
ASX,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Mitsubishi-ASX/34084756,9999,"180,001 - 200,000",Automatic,Petrol,SUV,20251112,cheapcarco,2011,Mitsubishi
ASX,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mitsubishi-ASX/34066691,9999,"20,001 - 40,000",Automatic,Petrol,SUV,20251112,cheapcarco,2015,Mitsubishi
ASX,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2024-Mitsubishi-ASX/34076301,24999,"100,001 - 120,000",Automatic,Petrol,SUV,20251112,cheapcarco,2024,Mitsubishi
Captiva,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Captiva/34043542,8999,"200,001+",Manual,Petrol,SUV,20251112,cheapcarco,2016,Holden
Captiva,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Captiva/34080602,9999,"200,001+",Automatic,Diesel,SUV,20251112,cheapcarco,2016,Holden
Captiva,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Holden-Captiva/34075041,9999,"200,001+",Automatic,Diesel,SUV,20251112,cheapcarco,2013,Holden
Challenger,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Mitsubishi-Challenger/34072075,10999,"120,001 - 140,000",Automatic,Diesel,SUV,20251112,cheapcarco,2010,Mitsubishi
Compass,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Jeep-Compass/34095111,7999,"200,001+",Automatic,Petrol,SUV,20251112,cheapcarco,2014,Jeep
CX-3,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-CX-3/34043537,12999,"140,001 - 160,000",Automatic,Petrol,SUV,20251112,cheapcarco,2015,Mazda
CX-3,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2015-Mazda-CX-3/34069877,14999,"200,001+",Automatic,Diesel,SUV,20251112,cheapcarco,2015,Mazda
Rover,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2011-Land-Rover-Discovery-4/34027424,13999,"200,001+",Automatic,Diesel,SUV,20251112,cheapcarco,2011,Land
Eclipse,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Mitsubishi-Eclipse-Cross/34046736,14999,"200,001+",Automatic,Petrol,SUV,20251112,cheapcarco,2018,Mitsubishi
Forester,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2008-Subaru-Forester/34083076,9999,"200,001+",Automatic,Petrol,SUV,20251112,cheapcarco,2008,Subaru
