name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
370Z,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2010-Nissan-370Z/34066689,18999,"200,001+",Automatic,Petrol,Coupe,20251117,cheapcarco,2010,Nissan
86,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Toyota-86/34060689,34999,"200,001+",Manual,Petrol,Coupe,20251117,cheapcarco,2013,Toyota
2,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Mazda-2/34109794,11999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2014,Mazda
A5,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2013-Audi-A5/34106793,14999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2013,Audi
Accent,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34109192,13999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2018,Hyundai
Accent,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2018-Hyundai-Accent/34112131,10999,"200,001+",Manual,Petrol,Hatchback,20251117,cheapcarco,2018,Hyundai
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2014-Holden-Barina/34083169,9999,"180,001 - 200,000",Automatic,Petrol,Hatchback,20251117,cheapcarco,2014,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Holden-Barina/34019800,8999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2016,Holden
Barina,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2017-Holden-Barina/34043374,10999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2017,Holden
Civic,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Honda-Civic/34087720,11999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2012,Honda
Clio,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2016-Renault-Clio/34040751,13999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2016,Renault
Corolla,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2024-Toyota-Corolla/34116524,29999,"200,001+",Automatic,Petrol,Hatchback,20251117,cheapcarco,2024,Toyota
Dualis,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2012-Nissan-Dualis/34084757,11999,"60,001 - 80,000",Automatic,Petrol,Hatchback,20251117,cheapcarco,2012,Nissan
Elantra,https://www.cheapcarco.com.au/used-vehicles-rocklea/view/2003-Hyundai-Elantra/34076069,6999,"120,001 - 140,000",Automatic,Petrol,Hatchback,20251117,cheapcarco,2003,Hyundai
